Drug Take-Back Site,Address,City,State,Zip Code,County,Phone Number,Hours of Availability,Location,Georeferenced Latitude & Longitude,Latitude,Longitude,Attention,Grant Owned,Box Status,Status
New Hanover Twp. Police Dept.,2943 N. Charlotte Street,Gilbertsville,PA,19525,Montgomery,(610)327-1150,24/7,"2943 N. Charlotte Street
Gilbertsville, PA 19525
(40.30211, -75.58356)",POINT (-75.583744 40.3019109),40.3019109,-75.583744,Chief Kevin McKeon,Yes,Operational,Active
Carroll Township Police Dept.,130 Baird Street,Monongahela,PA,15063,Washington,(724)483-5556,M-F 8-3,"130 Baird Street
Monongahela, PA 15063
(40.16837, -79.91521)",POINT (-79.9145497 40.1693996),40.1693996,-79.9145497,Chief Paul Brand,Yes,Operational,Active
Plymouth Twp. Police Dept.,700 Belvoir Road,Plymouth Meeting,PA,19462,Montgomery,(610)279-1901,24/7,"700 Belvoir Road
Plymouth Meeting, PA 19462
(40.12821, -75.3088)",POINT (-75.3093012 40.1284836),40.1284836,-75.3093012,Chief Joseph Lawrence,Yes,Operational,Active
Saxton Borough Police Dept.,707 9th Street,Saxton,PA,16678,Bedford,(814) 635-3523,"M & T 8:00am – 4:00pm  W,Th, Fr 9:00am – 5:00pm","707 9th Street
Saxton, PA 16678
(40.2147, -78.24635)",POINT (-78.2464611 40.2156453),40.2156453,-78.2464611,,No,Operational,Active
Weis Markets - Williamsport (River Ave.),305 River Ave.,Williamsport,PA,17701,Lycoming,570-322-5597,M-F 8 a.m. - 8 p.m. / Sat. 8 a.m. - 6 p.m. / Sun. 10 a.m. - 2 p.m.,"305 River Ave.
Williamsport, PA 17701
(41.24952, -76.98114)",POINT (-76.981807 41.249742),41.249742,-76.981807,Geisinger Medical Center,No,,Active
State Police-Troop G / Lewistown,34 Arch Rock Rd.,Mifflintown,PA,17059,Mifflin,,,"34 Arch Rock Rd.
Mifflintown, PA 17059
(40.59743, -77.4155)",POINT (-77.411975 40.598589),40.598589,-77.411975,,No,,Active
The Medicine Shoppe (Greenville),419 S. Main Street,Greenville,PA,16125,Mercer,724-588-3875,,"419 S. Main Street
Greenville, PA 16125
(41.41004, -80.37121)",POINT (-80.371054 41.410129),41.410129,-80.371054,,No,Pharmacy,Active
Chester Police,160 E. 7th St.,Chester,PA,19013,Delaware,,,"160 E. 7th St.
Chester, PA 19013
(39.8517, -75.3591)",POINT (-75.359305 39.851556),39.851556,-75.359305,,No,,Active
Hastings Borough Police Department,207 5th Avenue,Hastings,PA,166646,Cambria,,,"207 5th Avenue
Hastings, PA 166646
(40.6655, -78.71115)",POINT (-78.711082 40.665337),40.665337,-78.711082,,No,,Active
Hilltop Pharmacy,818 E. Warrington Avenue,Pittsburgh,PA,15210,Allegheny,412-431-5766,,"818 E. Warrington Avenue
Pittsburgh, PA 15210
(40.42181, -79.99292)",POINT (-79.992903 40.421678),40.421678,-79.992903,,No,Pharmacy,Active
CVS #1677,33 E MARKET STREET,LEWISTOWN,PA,17044,"MIFFLIN,PA",7172480921,Follows Pharmacy Hours of Operation,"33 E MARKET STREET
LEWISTOWN, PA 17044
(40.59827, -77.57328)",POINT (-77.573437 40.598297),40.598297,-77.573437,,No,Pharmacy,Active
Palmerton Police Dept.,401 Delaware Avenue,Palmerton,PA,18071,Carbon,(610)826-4055,,"401 Delaware Avenue
Palmerton, PA 18071
(40.80259, -75.60783)",POINT (-75.608009 40.8028989),40.8028989,-75.608009,Chief Randolph S. Smith,Yes,Operational,Active
Messiah College (Engle Health Center),1 College Avenue,Mechanicsburg,PA,17055,Cumberland,(717)766-2511 ext 6035,M-F 8-5,,POINT (-77.580782 40.711636),40.711636,-77.580782,,Yes,Operational,Active
Conemaugh Township Police Department,142 Janie Street,Johnstown,PA,15902,Cambria,,,"142 Janie Street
Johnstown, PA 15902
(40.32736, -78.88223)",POINT (-78.882538 40.32745),40.32745,-78.882538,,No,,Active
Warrington Township Building,852 Easton Road,Warrington,PA,18976,Bucks,(215)343-9350,,"852 Easton Road
Warrington, PA 18976
(40.23906, -75.13734)",POINT (-75.137614 40.238851),40.238851,-75.137614,,No,Operational,Active
Penn Township Police Dept.,2000 Commercial Drive,Irwin,PA,15642,Westmoreland,(724)863-1119,M-F 8:00 a.m.-4:00 p.m.,"2000 Commercial Drive
Irwin, PA 15642
(40.35938, -79.67926)",POINT (-79.6795819 40.3588941),40.3588941,-79.6795819,Lt. Michael Shirey,Yes,Operational,Active
Sloan’s Manheim Pharmacy,73 S Main St,Manheim,PA,17545,Lancaster,,,"73 S Main St
Manheim, PA 17545
(40.16255, -76.39309)",POINT (-76.393164 40.162646),40.162646,-76.393164,,Yes,,Active
West Hempfield Township Police Dept.,3401 Marietta Avenue,Lancaster,PA,17601,Lancaster,(717)285-5191,M-F 8am-4:30pm,"3401 Marietta Avenue
Lancaster, PA 17601
(40.06203, -76.42444)",POINT (-76.424224 40.0627799),40.0627799,-76.424224,Chief Mark Pugliese,Yes,Operational,Active
CVS #1606,37 MAHONING ST.,MILTON,PA,17847,"NORTHUMBERLAND,PA",5707423091,Follows Pharmacy Hours of Operation,"37 MAHONING ST.
MILTON, PA 17847
(41.0159, -76.85597)",POINT (-76.855385 41.01646),41.01646,-76.855385,,No,Pharmacy,Active
Bally Police Department,425 Chestnut Street,Bally,PA,19503,Berks,(610)845-2400,Monday to Friday 8am – 4pm,"425 Chestnut Street
Bally, PA 19503
(40.39967, -75.58985)",POINT (-75.5901499 40.3997849),40.3997849,-75.5901499,,No,Operational,Active
Lord's Valley Village Pharmacy,"Route 739, Lords Valley Traders Market",Lords Valley,PA,18428,Pike,(570) 775-9555,,"Route 739, Lords Valley Traders Market
Lords Valley, PA 18428
(41.35121, -75.050354)",POINT (-75.048403 41.349793),41.349793,-75.048403,,Yes,,Active
Westfield Police Department,429 East Main Street,Westfield,PA,16950,Tioga,814-367-2769,"Monday - Friday 8:00 AM to 4:00 PM, excluding holidays","429 East Main Street
Westfield, PA 16950
(41.92173, -77.53217)",POINT (-77.534037 41.92101),41.92101,-77.534037,Chief Dale Niles,No,Operational,Active
Borough of Conshohocken Police Dept.,"400 Fayette Street, Suite 100",Conshohocken,PA,19428,Montgomery,(610)828-4032,unknown,"400 Fayette Street, Suite 100
Conshohocken, PA 19428
(40.07716, -75.3039)",POINT (-75.303804 40.076399),40.076399,-75.303804,Chief Michael Orler,Yes,ordered 4-26-16,Active
Camp Hill Police Dept.,2199 Walnut Street,Camp Hill,PA,17011,Cumberland,(717)737-1570,M-F 7:30am-3:30pm,"2199 Walnut Street
Camp Hill, PA 17011
(40.24106, -76.92209)",POINT (-76.922171 40.24148),40.24148,-76.922171,Chief Doug Hockenberry,Yes,Operational,Active
Ridley Park Police,230 W. Chester Pike,Ridley Park,PA,19078,Delaware,610-362-7401,9-5 M-F,"230 W. Chester Pike
Ridley Park, PA 19078
(39.87185, -75.33012)",POINT (-75.329183 39.871799),39.871799,-75.329183,,No,,Active
State Police-Troop E / Franklin,6724 US 322,Franklin,PA,16323,Venango,,,"6724 US 322
Franklin, PA 16323
(41.3542, -79.72845)",POINT (-79.729276 41.353077),41.353077,-79.729276,,No,,Active
Easton Police Dept.,25 S. 3rd Street,Easton,PA,18042,Northampton,(610)250-6630,,"25 S. 3rd Street
Easton, PA 18042
(40.69022, -75.20905)",POINT (-75.209299 40.690197),40.690197,-75.209299,Chief Carl Scalzo,Yes,Operational,Active
Uniontown Hospital,500 West Berkeley Street,Uniontown,PA,15401,Fayette,(724)430-5001,,"500 West Berkeley Street
Uniontown, PA 15401
(39.90221, -79.73781)",POINT (-79.738542 39.901797),39.901797,-79.738542,Chief John Kaminsky,Yes,,Active
Windber Borough Police Department,1301 Jefferson Avenue,Windber,PA,15963,Cambria,,,"1301 Jefferson Avenue
Windber, PA 15963
(40.23519, -78.83424)",POINT (-78.834201 40.2354),40.2354,-78.834201,,No,,Active
Linesville Borough Police Dept.,127 East Erie Street,Linesville,PA,16424,Crawford,(814)683-5454,,"127 East Erie Street
Linesville, PA 16424
(41.65621, -80.42017)",POINT (-80.4202727 41.6564104),41.6564104,-80.4202727,Chief Robert Johnston,Yes,Operational,Active
Giant Eagle Pharmacy #0016,1451 Scalp Ave.,Johnstown,PA,15904,Cambria,(814) 269-3630,Pharmacy Hours,"1451 Scalp Ave.
Johnstown, PA 15904
(40.27104, -78.85506)",POINT (-78.854366 40.27116),40.27116,-78.854366,,No,Pharmacy,Active
Clinton County Sheriff's Dept. (In the Garden Building across the street from the courthouse),232 East Main Street,Lock Haven,PA,17745,Clinton,(570)893-4070,"M, T, TH, F 8-5, W 8-12:30","232 East Main Street
Lock Haven, PA 17745
(41.13685, -77.44256)",POINT (-77.4432373 41.1369052),41.1369052,-77.4432373,Sheriff Charles Ankney,Yes,Operational,Active
CVS #813,1034 SECOND STREET PIKE,RICHBORO,PA,18954,"BUCKS,PA",2153224060,Follows Pharmacy Hours of Operation,"1034 SECOND STREET PIKE
RICHBORO, PA 18954
(40.21649, -75.01125)",POINT (-75.011553 40.216493),40.216493,-75.011553,,No,Pharmacy,Active
Edinboro University Campus Police,911 Scotland Road,Edinboro,PA,16444,Erie,(814)732-2921,24 hours/7 days a week,,POINT (-80.118559 41.874642),41.874642,-80.118559,Chief Angela Vincent,No,Operational,Active
McCahan’s Pharmacy,813 Lower Main Street,Saxton,PA,16678,Bedford,814-635-2911,9:00am to 5:30pm Monday through Sunday; Does not accept: Sharps,"813 Lower Main Street
Saxton, PA 16678
(40.21544, -78.24544)",POINT (-78.245604 40.215424),40.215424,-78.245604,,Yes,,Active
Borough of Ligonier Police Dept.,112 North Fairfield Street,Ligonier,PA,15658-1110,Westmoreland,(724)238-5611,M-F 8:00 a.m.-5:00 p.m,"112 North Fairfield Street
Ligonier, PA 15658-1110
(40.24439, -79.2384)",POINT (-79.2384464 40.244314),40.244314,-79.2384464,Chief John Berger,Yes,Operational,Active
Geisinger Bloomsburg Hospital (Main Lobby),549 Fair St.,Bloomsburg,PA,17815,Columbia,570-387-2100,Daily: 6 a.m. – 9 p.m.,"549 Fair St.
Bloomsburg, PA 17815
(41.00947, -76.45263)",POINT (-76.452824 41.008653),41.008653,-76.452824,,No,Pharmacy/Hospital,Active
Bryn Athyn Police Dept.,2825 Buck Road,Bryn Athyn,PA,19009,Montgomery,(215) 947-0118,Unknown,"2825 Buck Road
Bryn Athyn, PA 19009
(40.13012, -75.05898)",POINT (-75.058935 40.131093),40.131093,-75.058935,Chief Glenn Coffin,Yes,Operational,Active
Delaware County Govt. Center,201 W. Front St.,Media,PA,19063,Delaware,,,"201 W. Front St.
Media, PA 19063
(39.91919, -75.39177)",POINT (-75.391484 39.920121),39.920121,-75.391484,,No,,Active
Bentleyville Municipal Bldg,900 Main Street,Bentleyville,PA,15315,Washington,(724) 239-2701,M-F 8AM -4 PM,"900 Main Street
Bentleyville, PA 15315
(40.1213, -80.00603)",POINT (-80.005718 40.121253),40.121253,-80.005718,Chief Young,No,Operational,Active
CVS #4082,410 EAST 12TH STREET,ERIE,PA,16503,"ERIE,PA",8144567071,Follows Pharmacy Hours of Operation,"410 EAST 12TH STREET
ERIE, PA 16503
(42.12678, -80.07238)",POINT (-80.072394 42.127242),42.127242,-80.072394,,No,Pharmacy,Active
Montgomery County Courthouse – both public entrances,Swede & Airy Sts.,Norristown,PA,19403,Montgomery,(610)278-3000,M-F 8:30-4:15,"Swede & Airy Sts.
Norristown, PA 19403
(40.11609, -75.34363)",POINT (-75.343649 40.1160765),40.1160765,-75.343649,Court Administrator Michael Kehs,No,Operational,Active
Muhlenberg Twp. Police Department,5401 Leesport Avenue,Temple,PA,19560,Berks,(610)929-5454,Monday to Friday 8am – 4:30pm,"5401 Leesport Avenue
Temple, PA 19560
(40.41515, -75.92467)",POINT (-75.9236851 40.400815),40.400815,-75.9236851,Chief Robert Flanagan,Yes,Operational,Active
Coudersport Borough Police Dept.,201 South West Street,Coudersport,PA,16915,Potter,(814)274-8970,,"201 South West Street
Coudersport, PA 16915
(41.77057, -78.02181)",POINT (-78.023385 41.771504),41.771504,-78.023385,Chief Curt McClain,Yes,,Active
Tinicum Township Police Department,235 Putcan Ave.,Essington,PA,19029,Delaware,(610)521-3830,M-F 8-4,"235 Putcan Ave.
Essington, PA 19029
(39.86271, -75.29307)",POINT (-75.29335 39.862832),39.862832,-75.29335,,No,Operational,Active
Upper Southampton Twp Police,939 Street Road,Southampton,PA,18966,Bucks,(215)364-5000,,"939 Street Road
Southampton, PA 18966
(40.17233, -75.03552)",POINT (-75.0367026 40.1714086),40.1714086,-75.0367026,,No,Operational,Active
CVS #1188,101 S. MAIN ST.,OLD FORGE,PA,18518,"LACKAWANNA,PA",5704572182,Follows Pharmacy Hours of Operation,"101 S. MAIN ST.
OLD FORGE, PA 18518
(41.37125, -75.73474)",POINT (-75.735604 41.371099),41.371099,-75.735604,,No,Pharmacy,Active
Prospect Park Borough Police,720 Maryland Ave.,Prospect Park,PA,19076,Delaware,,,"720 Maryland Ave.
Prospect Park, PA 19076
(39.88801, -75.30858)",POINT (-75.308338 39.888086),39.888086,-75.308338,,No,,Active
Market District Pharmacy #0040,5550 Centre Ave,Pittsburgh,PA,15232,Allegheny,(412) 682-5466,Pharmacy Hours,"5550 Centre Ave
Pittsburgh, PA 15232
(40.45694, -79.93517)",POINT (-79.934605 40.456493),40.456493,-79.934605,,No,Pharmacy,Active
Geistown Borough Police Department,721 East Oakmont Boulevard,Johnstown,PA,15904,Cambria,,,"721 East Oakmont Boulevard
Johnstown, PA 15904
(40.2921, -78.86715)",POINT (-78.86708 40.292524),40.292524,-78.86708,,No,,Active
Jackson Township Police Dept.,140 Magill Road,Zelienople,PA,16063,Butler,(724)452-5600,,"140 Magill Road
Zelienople, PA 16063
(40.79273, -80.10454)",POINT (-80.104255 40.792926),40.792926,-80.104255,Chief Terry L. Seilhamer,Yes,Operational,Active
Selinsgrove Police Dept.,100 W. Pine Street,Selinsgrove,PA,17870,Snyder,(570)374-8655,"Monday to Friday, 8:00AM to 12:00PM, 1:00PM to 4:00PM.","100 W. Pine Street
Selinsgrove, PA 17870
(40.79965, -76.86348)",POINT (-76.8634474 40.7998064),40.7998064,-76.8634474,Chief Thomas L. Garlock,Yes,Operational,Active
CVS #3875,1450 POTTSTOWN PIKE,WEST CHESTER,PA,19380,"CHESTER,PA",6106926393,Follows Pharmacy Hours of Operation,"1450 POTTSTOWN PIKE
WEST CHESTER, PA 19380
(40.01022, -75.61667)",POINT (-75.616717 40.010564),40.010564,-75.616717,,No,Pharmacy,Active
Souderton Police Department,31 West Summit St.,Souderton,PA,18964-1694,Montgomery,(215)723-6500,24 hours a day/ 7 days a week mail slot in back of building,"31 West Summit St.
Souderton, PA 18964-1694
(40.31309, -75.32937)",POINT (-75.3291919 40.3133239),40.3133239,-75.3291919,Chief James P Leary,No,Operational,Active
"CVS PHARMACY, L.L.C. # 04133 (WILKINSBURG)",520 PENN AVE,WILKINSBURG,PA,15221,Allegheny,,,"520 PENN AVE
WILKINSBURG, PA 15221
(40.44401, -79.88635)",POINT (-79.886452 40.443877),40.443877,-79.886452,,No,Pharmacy,Active
Mount Carmel Twp. Police Dept.,300 Laurel Street,Atlas,PA,17851,Northumberland,(570)339-1653,,"300 Laurel Street
Atlas, PA 17851
(40.79902, -76.42877)",POINT (-76.4277301 40.7998089),40.7998089,-76.4277301,Chief Brian Hollenbush,Yes,Operational,Active
Weis Markets - Montoursville,801 Loyalsock Ave,Montoursville,PA,17754,Lycoming,570-368-5599,M-F 9am-9pm / Sat. 9am-6pm / Sun. 10am-2pm,"801 Loyalsock Ave
Montoursville, PA 17754
(41.25936, -76.91721)",POINT (-76.919081 41.260134),41.260134,-76.919081,Geisinger,No,,Active
CareSite Pharmacy Orwigsburg,300 Hollywood Blvd.,Orwigsburg,PA,17961,Schuylkill,570-968-1320,Monday - Friday: 8 a.m. - 5 p.m.,,POINT (-76.089902 40.64123),40.64123,-76.089902,,No,Pharmacy,Active
"CVS PHARMACY, L.L.C. # 01193 (JENKINTOWN)",835 OLD YORK ROAD,JENKINTOWN,PA,19046,Montgomery,,,"835 OLD YORK ROAD
JENKINTOWN, PA 19046
(40.10619, -75.12346)",POINT (-75.123616 40.105903),40.105903,-75.123616,,No,Pharmacy,Active
Chambersburg Police Dept.,116 S. Second Street,Chambersburg,PA,17201,Franklin,(717)264-4131,M-F 8-5,"116 S. Second Street
Chambersburg, PA 17201
(39.93533, -77.65961)",POINT (-77.659612 39.9353078),39.9353078,-77.659612,Offcr. Shane Good,Yes,Operational,Active
Norristown Police Dept.,235 East Airy Street,Norristown,PA,19401,Montgomery,(610)270-0977,unknown,"235 East Airy Street
Norristown, PA 19401
(40.11444, -75.33925)",POINT (-75.339037 40.114701),40.114701,-75.339037,"Chief Mark Talbot, Sr.",Yes,ordered 4-26-16,Active
Haverford Township Police Department,1010 Darby Road,Havertown,PA,19083,Delaware,(610)853-1298,Please contact location,"1010 Darby Road
Havertown, PA 19083
(39.97613, -75.30308)",POINT (-75.3040088 39.9759334),39.9759334,-75.3040088,,No,Operational,Active
Philadelphia Police Dept.-1st Police District,24th & Wolf Streets,Philadelphia,PA,19145,Philadelphia,(215)686-3010,,"24th & Wolf Streets
Philadelphia, PA 19145
(39.91891, -75.14701)",POINT (-75.186581 39.923996),39.923996,-75.186581,Capt. Louis Campione,Yes,Operational,Active
Walgreens Pharmacy (North Philadelphia Location),4001 Kensington Avenue,Philadlephia,PA,19124,Philadelphia,215–537–2304,,"4001 Kensington Avenue
Philadlephia, PA 19124
(40.00713, -75.09401)",POINT (-75.09301 40.006901),40.006901,-75.09301,,No,,Active
Butler County Prison,202 South Washington Street,Butler,PA,16001,Butler,(724)284-5256,24 hours/7 days a week.,"202 South Washington Street
Butler, PA 16001
(40.85958, -79.89695)",POINT (-79.8969655 40.8597709),40.8597709,-79.8969655,Warden Richard Shaffer,Yes,Operational,Active
HERITAGE VALLEY PHARMACY SEWICKLEY CAMP,720 BLACKBURN ROAD,SEWICKLEY,PA,15143,Allegheny,,,"720 BLACKBURN ROAD
SEWICKLEY, PA 15143
(40.54322, -80.17841)",POINT (-80.178014 40.542729),40.542729,-80.178014,,No,Pharmacy,Active
Washington County Office of the Sheriff,"100 West Beau Street, Suite 303",Washington,PA,15301,Washington,(724)228-6840,unknown,"100 West Beau Street, Suite 303
Washington, PA 15301
(40.17046, -80.24663)",POINT (-80.247217 40.170192),40.170192,-80.247217,Sheriff Samuel Romano,Yes,ordered 4-26-16,Active
Moon Twp. Police Dept.,1000 Beaver Grade Rd,Moon,PA,15108,Allegheny,(412)262-5000,24 hours/7 days a week.,"1000 Beaver Grade Rd
Moon, PA 15108
(40.50445, -80.208)",POINT (-80.208152 40.504618),40.504618,-80.208152,Chief Leo McCarthy,Yes,Operational,Active
Richland Township Police,229 California Road,Quakertown,PA,18951,Bucks,(215)536-9500,M-F 8:30-4:30,"229 California Road
Quakertown, PA 18951
(40.44967, -75.35277)",POINT (-75.3527824 40.4494561),40.4494561,-75.3527824,,No,Operational,Active
Tullytown Borough Police,500 Main Street,Tullytown,PA,19007,Bucks,(215)945-0999,M-F 8-4,"500 Main Street
Tullytown, PA 19007
(40.14213, -74.81148)",POINT (-74.8115471 40.1420204),40.1420204,-74.8115471,,No,Operational,Active
Clarion Borough Police Department,1400 East Main Street,Clarion,PA,16214,Clarion,814-226-9140,M-S 24 hrs/7days a week,"1400 East Main Street
Clarion, PA 16214
(41.20721, -79.3644)",POINT (-79.3648769 41.2073707),41.2073707,-79.3648769,Chief Mark Hall,No,Operational,Active
Lansdale Police Department,35 Vine St,Lansdale,PA,19446,Montgomery,(215)368-1801,24/7,"35 Vine St
Lansdale, PA 19446
(40.24115, -75.28637)",POINT (-75.285193 40.2407786),40.2407786,-75.285193,Sgt. Alex Kromdyk,Yes,Operational,Active
State Police-Troop E / Erie,4320 Iroquois Ave.,Erie,PA,16511-2135,Erie,,,"4320 Iroquois Ave.
Erie, PA 16511-2135
(42.15217, -80.01097)",POINT (-80.010598 42.152413),42.152413,-80.010598,,No,,Active
East Pennsboro Township Police Dept.,98 South Enola Drive,Enola,PA,17025,Cumberland,(717)732-3633,M-F 8:30am-3pm,"98 South Enola Drive
Enola, PA 17025
(40.28723, -76.93283)",POINT (-76.9323662 40.2872865),40.2872865,-76.9323662,Chief Todd M. Bashore,Yes,Operational,Active
Borough of Sewickley Police Dept.,601 Thorn Street,Sewickley,PA,15143,Allegheny,(412)473-3056,,"601 Thorn Street
Sewickley, PA 15143
(40.53801, -80.18013)",POINT (-80.179878 40.538175),40.538175,-80.179878,Chief James Ershar,Yes,,Active
Sinking Spring Police Department,3940 Penn Avenue,Sinking Spring,PA,19608,Berks,(610)678-1906,Monday to Friday 9am - 8pm,"3940 Penn Avenue
Sinking Spring, PA 19608
(40.32485, -76.02178)",POINT (-76.0220587 40.3250009),40.3250009,-76.0220587,,No,Operational,Active
Wilkes Barre Police Department,150 Watson St,Wilkes-Barre,PA,18711,Luzerne,(570) 208-4635,,"150 Watson St
Wilkes-Barre, PA 18711
(41.22734, -75.87131)",POINT (-75.871223 41.227177),41.227177,-75.871223,,No,,Active
State Police-Troop F / Emporium,12921 Rt 120,Emporium,PA,15834,Cameron,,,"12921 Rt 120
Emporium, PA 15834
(41.50076, -78.26357)",POINT (-78.263726 41.501451),41.501451,-78.263726,,No,,Active
Strasburg Borough Police Dept.,145 Precision Avenue,Strasburg,PA,17579,Lancaster,(717)687-7732,M-F 7:30am-4pm,"145 Precision Avenue
Strasburg, PA 17579
(39.98509, -76.1911)",POINT (-76.1915746 39.985289),39.985289,-76.1915746,Chief Steven Echternach,Yes,Operational,Active
CVS #5700,3161 MT. MORRIS RD.,WAYNESBURG,PA,15370,"GREENE,PA",7246278108,Follows Pharmacy Hours of Operation,"3161 MT. MORRIS RD.
WAYNESBURG, PA 15370
(39.89548, -80.16316)",POINT (-80.16312 39.895145),39.895145,-80.16312,,No,Pharmacy,Active
Emmaus Police Dept.,400 Jubilee Street,Emmaus,PA,18049,Lehigh,(610)967-3113,"M-F 8am-4pm, except holidays.","400 Jubilee Street
Emmaus, PA 18049
(40.53401, -75.49145)",POINT (-75.4914319 40.5339461),40.5339461,-75.4914319,Chief David Faust,Yes,Operational,Active
West Whiteland Twp. Police Dept.,101 Commerce Drive,Exton,PA,19341,Chester,(610)363-0200,M-F 8:30-4:30,"101 Commerce Drive
Exton, PA 19341
(40.02572, -75.62974)",POINT (-75.6237137 40.031488),40.031488,-75.6237137,Lt. John A. Krisch,Yes,Operational,Active
